user_id,date_of_birth,gender
1,15/08/2000,male
2,09/03/2003,female
3,05/11/1958,female
4,04/01/1960,female
5,01/03/1987,other
6,27/11/2002,other
7,09/04/1990,male
8,17/05/2006,male
9,22/01/1977,other
10,05/09/2012,male
11,06/11/1953,female
12,21/03/1999,male
13,18/01/1980,other
14,16/11/1991,female
15,20/02/1974,female
16,20/04/1978,other
17,15/03/1944,male
18,23/01/1952,male
19,14/07/1983,male
20,17/04/1969,male
21,13/01/1973,other
22,11/11/1969,female
23,03/01/1992,female
24,22/06/1990,other
25,12/04/1969,female
26,08/08/1960,other
27,14/01/1990,female
28,14/10/1998,other
29,25/08/2009,male
30,13/11/2011,male
31,26/02/1969,female
32,27/06/1986,other
33,25/10/1986,female
34,06/01/1984,other
35,11/07/1987,female
36,19/04/1956,other
37,26/05/2008,other
38,04/11/1964,other
39,03/10/1971,male
40,03/07/1989,female
41,02/11/1988,male
42,07/03/1996,other
43,20/09/1995,male
44,18/10/2011,male
45,10/02/2001,female
46,12/02/1981,other
47,10/11/1988,female
48,07/01/1986,other
49,04/05/1989,male
50,06/10/2005,other
51,07/02/1974,other
52,14/05/1965,female
53,28/10/1964,male
54,10/08/1992,female
55,21/07/1998,male
56,18/09/1995,male
57,26/06/1994,male
58,20/12/1982,male
59,23/06/1994,female
60,19/05/2008,female
61,17/05/1973,other
62,08/07/1991,other
63,19/04/1994,other
64,14/01/1986,male
65,09/03/2004,male
66,02/05/1976,male
67,13/04/1997,female
68,25/06/1989,male
69,01/01/2011,male
70,20/06/1964,male
71,15/12/1980,female
72,13/05/1968,female
73,15/09/1994,male
74,28/05/2005,other
75,19/12/1992,other
76,23/08/2006,male
77,12/09/1982,other
78,14/11/1991,male
79,01/04/1995,other
80,15/09/1983,other
81,16/07/1996,female
82,24/11/1983,other
83,21/08/1971,female
84,27/06/1966,female
85,14/08/1985,other
86,16/07/1994,other
87,28/11/2000,male
88,08/06/1988,female
89,22/10/1957,other
90,10/09/1988,female
91,20/09/1964,other
92,01/09/1968,male
93,16/12/1973,male
94,14/08/1989,other
95,18/02/1987,male
96,06/03/1988,female
97,17/02/1985,female
98,13/10/1968,male
99,14/02/1940,male
